Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b7:d755:79a2:5834:f4c1:f22b,Arizona,2021-11-21T00:19:37.740Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b9:6b2c:9f21:da23:128d:e9ad,Arizona,2021-11-20T23:47:06.893Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b9:aea9:cb3e:9e02:23a2:2ea,Arizona,2021-11-20T22:51:41.189Z
NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,US,Amazon TVAFTBL Smart TV,Amazon TVAFTBL Smart TV,68.2.124.173,Arizona,2021-11-17T03:13:45.668Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:39cc:83a9:6a11:48d,Arizona,2021-11-16T06:42:39.104Z
SSTV-NKL2-0000000000000004927643,US,Samsung CE 2020 Nike-L UHD TV Smart TV,Samsung CE 2020 Nike-L UHD TV Smart TV,68.2.124.173,Arizona,2021-11-07T15:54:51.339Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.214.215.25,Arizona,2021-10-30T05:29:08.104Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,44.194.129.78,Virginia,2021-10-27T21:43:37.894Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,34.204.55.187,Virginia,2021-10-27T20:51:25.895Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:498a:376d:18d:12f8,Arizona,2021-10-21T15:33:33.051Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-10-18T05:02:29.163Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:543d:68b1:6150:6743,Arizona,2021-10-12T04:00:51.879Z
NFCDCH-LX-HP9ZQAVFQR3YU75A03XFWE0TNFHWNV,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,24.121.67.100,California,2021-10-12T03:20:34.033Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:830c:4600:84f3:6308:8454:3cf7,Arizona,2021-09-30T02:01:47.187Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:bcd3:922:13be:4861,Arizona,2021-09-13T05:34:13.620Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b3:4ab0:544f:e155:4efa:64f7,Arizona,2021-09-13T00:43:28.050Z
NFCDCH-02-HL8FLTC4VAKNA9HDWH8U01D8425MM5,US,Chrome PC (Cadmium),Chrome PC (Cadmium),2600:8800:8380:29:4c95:4a63:184c:35c6,Arizona,2021-09-05T03:34:11.785Z
NFCDCH-02-HL8FLTC4VAKNA9HDWH8U01D8425MM5,US,Chrome PC (Cadmium),Chrome PC (Cadmium),2600:8800:8380:29:4c95:4a63:184c:35c6,Arizona,2021-09-05T03:33:41.726Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:7ca6:22e8:a5ad:34d1,Arizona,2021-09-02T16:25:24.873Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:49d9:45d4:3440:acb8,Arizona,2021-08-12T05:33:33.905Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:4960:77bc:9366:f8a2,Arizona,2021-08-11T05:06:01.710Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:29:3014:29cf:1279:da53,Arizona,2021-07-22T02:52:03.183Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b9:ae62:25b6:2de9:9130:3aaa,Arizona,2021-07-22T02:23:28.790Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b1:2216:fa12:dbc4:414e:8840,Arizona,2021-07-09T01:24:46.406Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b1:88d2:95c9:2e13:7ae2:89e2,Arizona,2021-07-09T01:06:26.609Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b5:685:aaef:ca14:255f:10e7,Arizona,2021-07-08T21:38:30.987Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,65.140.32.146,Arizona,2021-07-08T21:01:02.792Z
