Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Stephen,US,Android Phone,0,4k,altered carbon,view_video_info,title_results,2018-03-12 16:33:42
Stephen,US,Xbox One,0,bob,bob ross: beauty is everywhere,play,video_info,2018-03-11 05:56:25
Stephen,US,Xbox One,0,bob,bob ross: beauty is everywhere,view_video_info,suggestion_title_results,2018-03-11 05:56:25
Stephen,US,Xbox One,0,bob,bob ross,view_suggestion_info,suggestion_results,2018-03-11 05:56:19
Stephen,US,Android Phone,0,de,death note,view_video_info,video_info,2018-02-20 02:58:28
Stephen,US,Android Phone,0,de,death note,play,video_info,2018-02-20 02:58:27
Stephen,US,Android Phone,0,de,-1,view_video_info,title_results,2018-02-20 02:56:33
Stephen,US,Smart TV,0,b,the boss baby,play,video_info,2018-02-19 18:10:29
Stephen,US,Smart TV,0,b,the boss baby,view_video_info,title_results,2018-02-19 18:10:27
Stephen,US,Xbox One,0,sin,sinners,view_suggestion_info,suggestion_results,2018-01-31 01:43:52
Stephen,US,Xbox One,0,si,sinister,view_suggestion_info,suggestion_results,2018-01-31 01:43:18
Stephen,US,Xbox One,0,si,the sinner,view_suggestion_info,suggestion_results,2018-01-31 01:43:02
Stephen,US,Xbox One,0,bon,criminal minds,play,suggestion_title_results,2018-01-21 04:19:28
Stephen,US,Xbox One,0,bon,criminal minds,play,suggestion_title_results,2018-01-21 04:19:06
Stephen,US,Xbox One,0,bon,criminal minds,view_video_info,suggestion_title_results,2018-01-21 04:19:06
Stephen,US,Xbox One,0,bon,criminal minds,play,video_info,2018-01-21 04:19:02
Stephen,US,Xbox One,0,bon,criminal minds,view_video_info,suggestion_title_results,2018-01-21 04:19:02
Stephen,US,Xbox One,0,bon,bones,view_suggestion_info,suggestion_results,2018-01-21 04:18:36
Stephen,US,Xbox One,0,luk,marvel's luke cage,view_video_info,title_results,2018-01-10 19:55:17
Stephen,US,Xbox One,0,luk,marvel's luke cage,play,video_info,2018-01-10 19:55:17
Stephen,US,Xbox One,0,lu,marvel's luke cage,play,video_info,2018-01-05 01:17:24
Stephen,US,Xbox One,0,lu,marvel's luke cage,view_video_info,title_results,2018-01-05 01:17:24
Stephen,US,Xbox One,0,jessica,marvel's jessica jones,view_video_info,title_results,2017-12-29 03:22:19
Stephen,US,Xbox One,0,jessica,marvel's jessica jones,play,video_info,2017-12-29 03:22:19
Stephen,US,Android Tablet,0,parad,paradox,view_video_info,video_info,2017-11-01 03:29:07
Stephen,US,Android Tablet,0,parad,paradox,play,video_info,2017-11-01 03:25:09
Stephen,US,Android Tablet,0,parad,paradox,view_video_info,title_results,2017-11-01 03:25:04
Stephen,US,Xbox One,0,the,the purge,view_suggestion_info,suggestion_results,2017-10-29 03:28:29
Stephen,US,Xbox One,0,the,the blind side,view_suggestion_info,suggestion_results,2017-10-29 03:28:23
Stephen,US,Xbox One,0,the,the shining,view_suggestion_info,suggestion_results,2017-10-29 03:28:04
Stephen,US,Xbox One,0,the,the purge,view_suggestion_info,suggestion_results,2017-10-29 03:27:50
Stephen,US,Xbox One,0,the,the duff,view_suggestion_info,suggestion_results,2017-10-29 03:27:38
Stephen,US,Xbox One,0,the,saw,view_video_info,suggestion_title_results,2017-10-29 03:26:32
Stephen,US,Xbox One,0,the,saw,play,video_info,2017-10-29 03:26:32
Stephen,US,Xbox One,0,the,the shining,view_suggestion_info,suggestion_results,2017-10-29 03:26:16
Stephen,US,Xbox One,0,cos,cosmos: a spacetime odyssey,view_video_info,title_results,2017-10-15 00:55:58
Stephen,US,Xbox One,0,cos,cosmos: a spacetime odyssey,play,video_info,2017-10-15 00:55:58
Stephen,US,Android Tablet,0,planets,into the inferno,view_video_info,suggestion_title_results,2017-10-15 00:53:54
Stephen,US,Xbox One,0,ni,a nightmare on elm street,view_suggestion_info,suggestion_results,2017-09-04 02:32:55
Stephen,US,Xbox One,0,ni,nickelodeon,view_suggestion_info,suggestion_results,2017-09-04 02:32:51
Stephen,US,Android Tablet,0,universe,the inexplicable universe with neil degrasse tyson,view_video_info,title_results,2017-08-19 02:20:52
Mom,US,Smart TV,0,b,Bridgerton,play,video_info,2022-04-13 02:31:37
Mom,US,Smart TV,0,b,Bridgerton,view_video_info,title_results,2022-04-13 02:31:30
